timestamp,zone_id,status,dba_spl,spl_roll_mean,spl_roll_std,spl_roll_min,spl_roll_max,spl_roll_range,spl_delta,spl_delta_abs,spl_above_thresh,spl_margin,spl_breach_rate,hour,minute,zone_reading_hall,zone_silent_study
2026-04-20 15:08:36+00:00,snell_group_room,compliant,52.2,52.2,0.0,52.2,52.2,0.0,0.0,0.0,1,7.200000000000003,1.0,15,8,0,0
2026-04-20 15:08:36+00:00,snell_silent_study,compliant,38.7,38.7,0.0,38.7,38.7,0.0,0.0,0.0,0,-6.299999999999997,0.0,15,8,0,1
2026-04-20 15:08:36+00:00,snell_reading_hall,compliant,43.5,43.5,0.0,43.5,43.5,0.0,0.0,0.0,0,-1.5,0.0,15,8,1,0
2026-04-20 15:09:06+00:00,snell_group_room,compliant,46.8,49.5,3.8183766184073606,46.8,52.2,5.400000000000006,-5.400000000000006,5.400000000000006,1,1.7999999999999972,1.0,15,9,0,0
2026-04-20 15:09:06+00:00,snell_silent_study,violation,41.0,39.85,1.6263455967290572,38.7,41.0,2.299999999999997,2.299999999999997,2.299999999999997,0,-4.0,0.0,15,9,0,1
2026-04-20 15:09:06+00:00,snell_reading_hall,compliant,37.2,40.35,4.454772721475248,37.2,43.5,6.299999999999997,-6.299999999999997,6.299999999999997,0,-7.799999999999997,0.0,15,9,1,0
2026-04-20 15:09:36+00:00,snell_group_room,compliant,45.9,48.300000000000004,3.407345007480166,45.9,52.2,6.300000000000004,-0.8999999999999986,0.8999999999999986,1,0.8999999999999986,1.0,15,9,0,0
2026-04-20 15:09:36+00:00,snell_silent_study,violation,41.8,40.5,1.6093476939431053,38.7,41.8,3.0999999999999943,0.7999999999999972,0.7999999999999972,0,-3.200000000000003,0.0,15,9,0,1
2026-04-20 15:09:36+00:00,snell_reading_hall,compliant,42.3,41.0,3.345145736735544,37.2,43.5,6.299999999999997,5.099999999999994,5.099999999999994,0,-2.700000000000003,0.0,15,9,1,0
2026-04-20 15:10:06+00:00,snell_group_room,compliant,42.7,46.9,3.9471508711981094,42.7,52.2,9.5,-3.1999999999999957,3.1999999999999957,0,-2.299999999999997,0.75,15,10,0,0
2026-04-20 15:10:06+00:00,snell_silent_study,compliant,33.8,38.825,3.5984950558068967,33.8,41.8,8.0,-8.0,8.0,0,-11.200000000000003,0.0,15,10,0,1
2026-04-20 15:10:06+00:00,snell_reading_hall,violation,45.0,42.0,3.3852621759621497,37.2,45.0,7.799999999999997,2.700000000000003,2.700000000000003,0,0.0,0.0,15,10,1,0
2026-04-20 15:10:36+00:00,snell_group_room,compliant,44.7,46.46,3.557105564922131,42.7,52.2,9.5,2.0,2.0,0,-0.29999999999999716,0.6,15,10,0,0
2026-04-20 15:10:36+00:00,snell_silent_study,violation,52.3,41.519999999999996,6.784320157539735,33.8,52.3,18.5,18.5,18.5,1,7.299999999999997,0.2,15,10,0,1
2026-04-20 15:10:36+00:00,snell_reading_hall,compliant,38.9,41.38,3.242992445257928,37.2,45.0,7.799999999999997,-6.100000000000001,6.100000000000001,0,-6.100000000000001,0.0,15,10,1,0
2026-04-20 15:11:06+00:00,snell_silent_study,violation,42.3,42.239999999999995,6.598711995533672,33.8,52.3,18.5,-10.0,10.0,0,-2.700000000000003,0.2,15,11,0,1
2026-04-20 15:11:06+00:00,snell_reading_hall,compliant,43.4,41.36,3.226918034285965,37.2,45.0,7.799999999999997,4.5,4.5,0,-1.6000000000000014,0.0,15,11,1,0
2026-04-20 15:11:06+00:00,snell_group_room,compliant,38.9,43.8,3.1400636936215136,38.9,46.8,7.899999999999999,-5.800000000000004,5.800000000000004,0,-6.100000000000001,0.4,15,11,0,0
2026-04-20 15:11:36+00:00,snell_reading_hall,compliant,38.5,41.620000000000005,2.8367234620244535,38.5,45.0,6.5,-4.899999999999999,4.899999999999999,0,-6.5,0.0,15,11,1,0
2026-04-20 15:11:36+00:00,snell_group_room,compliant,47.3,43.9,3.2649655434628984,38.9,47.3,8.399999999999999,8.399999999999999,8.399999999999999,1,2.299999999999997,0.4,15,11,0,0
2026-04-20 15:11:36+00:00,snell_silent_study,violation,51.5,44.339999999999996,7.686546688858395,33.8,52.3,18.5,9.200000000000003,9.200000000000003,1,6.5,0.4,15,11,0,1
2026-04-20 15:12:06+00:00,snell_reading_hall,compliant,42.5,41.660000000000004,2.8500877179483446,38.5,45.0,6.5,4.0,4.0,0,-2.5,0.0,15,12,1,0
2026-04-20 15:12:06+00:00,snell_group_room,compliant,49.3,44.58,4.046232815842408,38.9,49.3,10.399999999999999,2.0,2.0,1,4.299999999999997,0.4,15,12,0,0
2026-04-20 15:12:06+00:00,snell_silent_study,compliant,36.8,43.339999999999996,8.392437071554363,33.8,52.3,18.5,-14.700000000000003,14.700000000000003,0,-8.200000000000003,0.4,15,12,0,1
2026-04-20 15:12:36+00:00,snell_reading_hall,compliant,40.9,40.839999999999996,2.1536016344718902,38.5,43.4,4.899999999999999,-1.6000000000000014,1.6000000000000014,0,-4.100000000000001,0.0,15,12,1,0
2026-04-20 15:12:36+00:00,snell_group_room,compliant,42.5,44.54,4.07038081756486,38.9,49.3,10.399999999999999,-6.799999999999997,6.799999999999997,0,-2.5,0.4,15,12,0,0
2026-04-20 15:12:36+00:00,snell_silent_study,violation,50.2,46.61999999999999,6.782108816584997,36.8,52.3,15.5,13.400000000000006,13.400000000000006,1,5.200000000000003,0.6,15,12,0,1
2026-04-20 15:13:06+00:00,snell_reading_hall,violation,53.0,43.66,5.542833210552165,38.5,53.0,14.5,12.100000000000001,12.100000000000001,1,8.0,0.2,15,13,1,0
2026-04-20 15:13:06+00:00,snell_silent_study,compliant,33.8,42.92,7.868100151879105,33.8,51.5,17.700000000000003,-16.400000000000006,16.400000000000006,0,-11.200000000000003,0.4,15,13,0,1
2026-04-20 15:13:06+00:00,snell_group_room,compliant,49.7,45.54,4.687003307018248,38.9,49.7,10.800000000000004,7.200000000000003,7.200000000000003,1,4.700000000000003,0.6,15,13,0,0
2026-04-20 15:13:36+00:00,snell_silent_study,compliant,35.5,41.56,8.559380818727485,33.8,51.5,17.700000000000003,1.7000000000000028,1.7000000000000028,0,-9.5,0.4,15,13,0,1
