timestamp,zone_id,status,dba_spl
2026-04-20 15:08:36+00:00,snell_group_room,compliant,52.2
2026-04-20 15:09:06+00:00,snell_group_room,compliant,46.8
2026-04-20 15:09:36+00:00,snell_group_room,compliant,45.9
2026-04-20 15:10:06+00:00,snell_group_room,compliant,42.7
2026-04-20 15:10:36+00:00,snell_group_room,compliant,44.7
2026-04-20 15:11:06+00:00,snell_group_room,compliant,38.9
2026-04-20 15:11:36+00:00,snell_group_room,compliant,47.3
2026-04-20 15:12:06+00:00,snell_group_room,compliant,49.3
2026-04-20 15:12:36+00:00,snell_group_room,compliant,42.5
2026-04-20 15:13:06+00:00,snell_group_room,compliant,49.7
2026-04-20 15:13:36+00:00,snell_group_room,compliant,43.6
2026-04-20 15:14:36+00:00,snell_group_room,compliant,48.0
2026-04-20 15:15:06+00:00,snell_group_room,compliant,50.4
2026-04-20 15:15:36+00:00,snell_group_room,compliant,40.4
2026-04-20 15:16:06+00:00,snell_group_room,compliant,54.4
2026-04-20 15:16:36+00:00,snell_group_room,compliant,37.8
2026-04-20 15:17:06+00:00,snell_group_room,compliant,44.9
2026-04-20 15:18:06+00:00,snell_group_room,compliant,43.8
2026-04-20 15:18:36+00:00,snell_group_room,compliant,43.5
2026-04-20 15:19:06+00:00,snell_group_room,compliant,40.5
2026-04-20 15:19:36+00:00,snell_group_room,compliant,47.1
2026-04-20 15:20:06+00:00,snell_group_room,compliant,54.4
2026-04-20 15:20:36+00:00,snell_group_room,compliant,41.0
2026-04-20 15:21:06+00:00,snell_group_room,compliant,45.9
2026-04-20 15:21:36+00:00,snell_group_room,compliant,54.6
2026-04-20 15:22:06+00:00,snell_group_room,compliant,39.4
2026-04-20 15:22:36+00:00,snell_group_room,compliant,44.5
2026-04-20 15:23:06+00:00,snell_group_room,compliant,45.7
2026-04-20 15:23:36+00:00,snell_group_room,compliant,36.0
2026-04-20 15:24:06+00:00,snell_group_room,compliant,40.0
2026-04-20 15:25:06+00:00,snell_group_room,compliant,48.1
2026-04-20 15:25:36+00:00,snell_group_room,compliant,45.4
2026-04-20 15:26:06+00:00,snell_group_room,compliant,52.4
2026-04-20 15:26:36+00:00,snell_group_room,compliant,52.5
2026-04-20 15:27:06+00:00,snell_group_room,compliant,51.6
2026-04-20 15:08:36+00:00,snell_reading_hall,compliant,43.5
2026-04-20 15:09:06+00:00,snell_reading_hall,compliant,37.2
2026-04-20 15:09:36+00:00,snell_reading_hall,compliant,42.3
2026-04-20 15:10:36+00:00,snell_reading_hall,compliant,38.9
2026-04-20 15:11:06+00:00,snell_reading_hall,compliant,43.4
2026-04-20 15:11:36+00:00,snell_reading_hall,compliant,38.5
2026-04-20 15:12:06+00:00,snell_reading_hall,compliant,42.5
2026-04-20 15:12:36+00:00,snell_reading_hall,compliant,40.9
2026-04-20 15:13:36+00:00,snell_reading_hall,compliant,42.3
2026-04-20 15:14:06+00:00,snell_reading_hall,compliant,43.4
2026-04-20 15:14:36+00:00,snell_reading_hall,compliant,41.7
2026-04-20 15:15:06+00:00,snell_reading_hall,compliant,39.9
2026-04-20 15:15:36+00:00,snell_reading_hall,compliant,41.5
2026-04-20 15:16:06+00:00,snell_reading_hall,compliant,43.1
2026-04-20 15:16:36+00:00,snell_reading_hall,compliant,38.9
2026-04-20 15:17:06+00:00,snell_reading_hall,compliant,36.1
2026-04-20 15:17:36+00:00,snell_reading_hall,compliant,38.9
2026-04-20 15:18:06+00:00,snell_reading_hall,compliant,38.1
2026-04-20 15:18:36+00:00,snell_reading_hall,compliant,42.2
2026-04-20 15:19:06+00:00,snell_reading_hall,compliant,39.3
2026-04-20 15:19:36+00:00,snell_reading_hall,compliant,41.6
2026-04-20 15:20:36+00:00,snell_reading_hall,compliant,40.4
2026-04-20 15:21:36+00:00,snell_reading_hall,compliant,38.3
2026-04-20 15:22:06+00:00,snell_reading_hall,compliant,38.1
2026-04-20 15:22:36+00:00,snell_reading_hall,compliant,36.8
2026-04-20 15:23:06+00:00,snell_reading_hall,compliant,42.0
2026-04-20 15:23:36+00:00,snell_reading_hall,compliant,41.5
2026-04-20 15:24:06+00:00,snell_reading_hall,compliant,43.6
2026-04-20 15:24:36+00:00,snell_reading_hall,compliant,37.7
2026-04-20 15:26:06+00:00,snell_reading_hall,compliant,44.0
