timestamp,zone_id,dba_spl,status,predicted_status,confidence,correct,inference_timestamp
2026-04-20 15:08:36+00:00,snell_group_room,52.2,compliant,compliant,0.98,True,2026-04-27T14:11:37.428283
2026-04-20 15:08:36+00:00,snell_silent_study,38.7,compliant,compliant,0.86,True,2026-04-27T14:11:37.428283
2026-04-20 15:08:36+00:00,snell_reading_hall,43.5,compliant,compliant,0.97,True,2026-04-27T14:11:37.428283
2026-04-20 15:09:06+00:00,snell_group_room,46.8,compliant,compliant,0.99,True,2026-04-27T14:11:37.428283
2026-04-20 15:09:06+00:00,snell_silent_study,41.0,violation,violation,0.83,True,2026-04-27T14:11:37.428283
2026-04-20 15:09:06+00:00,snell_reading_hall,37.2,compliant,compliant,0.97,True,2026-04-27T14:11:37.428283
2026-04-20 15:09:36+00:00,snell_group_room,45.9,compliant,compliant,0.98,True,2026-04-27T14:11:37.428283
2026-04-20 15:09:36+00:00,snell_silent_study,41.8,violation,violation,0.77,True,2026-04-27T14:11:37.428283
2026-04-20 15:09:36+00:00,snell_reading_hall,42.3,compliant,compliant,0.95,True,2026-04-27T14:11:37.428283
2026-04-20 15:10:06+00:00,snell_group_room,42.7,compliant,compliant,0.99,True,2026-04-27T14:11:37.428283
2026-04-20 15:10:06+00:00,snell_silent_study,33.8,compliant,compliant,0.93,True,2026-04-27T14:11:37.428283
2026-04-20 15:10:06+00:00,snell_reading_hall,45.0,violation,violation,0.57,True,2026-04-27T14:11:37.428283
2026-04-20 15:10:36+00:00,snell_silent_study,52.3,violation,violation,0.97,True,2026-04-27T14:11:37.428283
2026-04-20 15:10:36+00:00,snell_reading_hall,38.9,compliant,compliant,0.98,True,2026-04-27T14:11:37.428283
2026-04-20 15:10:36+00:00,snell_group_room,44.7,compliant,compliant,0.99,True,2026-04-27T14:11:37.428283
2026-04-20 15:11:06+00:00,snell_reading_hall,43.4,compliant,compliant,0.98,True,2026-04-27T14:11:37.428283
2026-04-20 15:11:06+00:00,snell_group_room,38.9,compliant,compliant,0.99,True,2026-04-27T14:11:37.428283
2026-04-20 15:11:06+00:00,snell_silent_study,42.3,violation,violation,0.8,True,2026-04-27T14:11:37.428283
